"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-05","11.86","0.00",,"0.0","36","45","33",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-06","12.30","0.00",,"0.0","43","50","38",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-07","11.18","0.23",,"0.0","40","43","38","    1","    1",,,,,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-08","7.61","0.02",,"0.0","47","62","39","    1","    1",,,,,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-09","21.47","0.87",,"10.0","36","44","19","    1","    1",,,,,,"    1",
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-10","15.21","0.00",,"0.0","24","34","19",,,,,,,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-11","4.92","0.00",,"0.0","38","49","31",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-12","11.41","0.42",,"0.3","36","40","32","    1",,,"    1",,"    1","    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-13","26.62","0.01",,"0.0","38","42","33",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-14","9.84","0.00",,"0.0","35","42","31",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-15","10.51","0.00",,"0.0","41","50","36",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-16","21.92","0.00",,"0.0","36","38","31",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-17","15.21","0.00",,"0.0","34","44","29",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-18","9.17","0.00",,"0.0","46","65","36",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-19","10.07","0.00",,"0.0","60","66","53",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-20","12.30","0.00",,"0.0","51","55","40",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-21","8.95","0.00",,"0.0","42","47","36",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-22","6.71","0.00",,"0.0","48","59","44",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2017-02-23","6.26","0.00",,"0.0","51","65","42","    1",,,,,,"    1",,
